datetime,station,pm25_ugm3,co_mgm3,no2_ugm3,o3_ugm3,pm10_ugm3,so2_ugm3,wind_direction_deg,humidity_pct,uv_index,precipitation_mm,pressure_hpa,solar_radiation_wm2,temperature_c,wind_speed_ms,elevation_m,zone
2025-12-01 23:00:00,BELISARIO,2.67,0.258,22.14,15.46,25.5,2.64,117.18,91.03,,0.0,726.39,0.0,11.15,1.06,2835,centro-norte
2025-12-02 00:00:00,BELISARIO,8.5,0.245,24.89,12.14,25.5,2.18,158.2,89.81,,0.0,725.99,0.0,11.23,0.75,2835,centro-norte
2025-12-02 01:00:00,BELISARIO,11.16,0.244,22.82,9.33,25.5,2.53,186.97,89.07,,0.0,725.27,0.0,10.88,0.41,2835,centro-norte
2025-12-02 02:00:00,BELISARIO,7.66,0.248,17.05,10.82,25.5,2.17,312.32,84.15,,0.0,724.9,0.0,10.75,0.65,2835,centro-norte
2025-12-02 03:00:00,BELISARIO,5.47,0.556,17.75,12.21,25.5,2.76,323.34,83.94,,0.0,724.65,0.0,10.81,0.16,2835,centro-norte
2025-12-02 04:00:00,BELISARIO,6.47,0.876,19.98,12.82,25.5,2.08,157.42,84.91,,0.0,724.94,0.0,10.74,0.19,2835,centro-norte
2025-12-02 05:00:00,BELISARIO,11.68,0.699,16.07,20.38,25.5,2.21,157.49,90.38,,0.0,725.36,0.0,10.55,1.22,2835,centro-norte
2025-12-02 06:00:00,BELISARIO,7.34,0.623,25.99,11.06,25.5,2.42,123.31,88.69,,0.0,725.84,99.4,11.1,0.93,2835,centro-norte
2025-12-02 07:00:00,BELISARIO,11.4,0.644,28.46,15.37,25.5,3.21,130.95,75.37,,0.0,726.52,353.0,13.33,1.38,2835,centro-norte
2025-12-02 08:00:00,BELISARIO,23.43,0.474,25.27,23.3,25.5,2.77,103.68,71.62,,0.0,726.86,554.1,13.97,1.29,2835,centro-norte
2025-12-02 09:00:00,BELISARIO,21.06,0.338,25.86,34.08,25.5,2.4,124.74,62.47,,0.0,726.64,803.4,15.41,1.57,2835,centro-norte
2025-12-02 10:00:00,BELISARIO,33.07,0.351,32.51,41.84,25.5,2.49,137.17,59.77,,0.0,726.58,466.7,15.78,1.42,2835,centro-norte
2025-12-02 11:00:00,BELISARIO,27.32,0.404,27.25,65.56,25.5,2.5,72.16,53.72,,0.0,726.18,578.7,17.03,0.59,2835,centro-norte
